OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221001252.000000000000000,D4,D419.02,Olathe 4-19,6283057.995422363300000,10522.727224546688000
-1,201727221001253.000000000000000,,E001.02,Spring Hill 0-01,36921842.666442871000000,39226.320913802272000
-1,201727221001254.000000000000000,,E001.03,Spring Hill 0-01,76565092.510345459000000,94088.779347359217000
-1,201727221001255.000000000000000,,E001.04,Spring Hill 0-01,8787037.815063476600000,24188.516024465713000
-1,201727221001256.000000000000000,,E001.05,Spring Hill 0-01,33757466.815002441000000,48152.968826866032000
-1,201727221001257.000000000000000,,E001.06,Spring Hill 0-01,24366221.233886719000000,42618.960355119947000
-1,201727221001258.000000000000000,,E002.01,Spring Hill 0-02,2413833.385528564500000,6294.824980161808500
-1,201727221001259.000000000000000,,E003.01,Spring Hill 0-03,10467468.436737061000000,15849.451448057118000
-1,201727221001260.000000000000000,,E004.01,Spring Hill 0-04,394722.781860351560000,2878.196325413779000
-1,201727221001261.000000000000000,G1,G101.01,Fairway 1-01,3137669.209655761700000,9099.837820155236800
-1,201727221001262.000000000000000,G1,G102.01,Fairway 1-02,2237556.171875000000000,6750.243329277196600
-1,201727221001263.000000000000000,G2,G201.01,Fairway 2-01,4457209.335815429700000,12617.971181620693000
-1,201727221001264.000000000000000,G2,G202.01,Fairway 2-02,5686407.373413085900000,16673.858288268329000
-1,201727221001265.000000000000000,G3,G301.01,Fairway 3-01,5336164.718200683600000,13648.543911979739000
-1,201727221001266.000000000000000,G3,G302.01,Fairway 3-02,3954146.819946289100000,11003.042254082100000
-1,201727221001267.000000000000000,G4,G401.01,Fairway 4-01,1614299.422851562500000,5088.908878896418200
-1,201727221001268.000000000000000,G4,G402.01,Fairway 4-02,1693717.307312011700000,5242.840477331529700
-1,201727221001269.000000000000000,G4,G403.01,Fairway 4-03,1473611.121704101600000,5255.664680966020600
-1,201727221001270.000000000000000,G4,G404.01,Fairway 4-04,1853096.214599609400000,5441.493349870870600
-1,201727221001271.000000000000000,H1,H101.01,Leawood 1-01,9197669.420227050800000,14127.468187537732000
-1,201727221001272.000000000000000,H1,H102.01,Leawood 1-02,16293423.585998535000000,17171.254972344577000
-1,201727221001273.000000000000000,H1,H103.01,Leawood 1-03,12660081.155395508000000,15680.658746834348000
