name,namelsad,countyfp,vtdst,geosha
Fort Scott Ward 1 Exclave Red Barn,Fort Scott Ward 1 Exclave Red Barn,011,00002D,33983fa6dde0755bc10bfd15b503a05e4cd45cc9f7853e5c481431a59bbbb9e8
Fort Scott Ward 1 Exclave Red Ram A,Fort Scott Ward 1 Exclave Red Ram A,011,00002E,b90dc685f05916b306a95574e1885655935ba82dc18312e844f9e5ed27d19563
Fort Scott Ward 1 Exclave Red Ram B,Fort Scott Ward 1 Exclave Red Ram B,011,00002F,33983fa6dde0755bc10bfd15b503a05e4cd45cc9f7853e5c481431a59bbbb9e8
Fort Scott Ward 2,Fort Scott Ward 2,011,00003A,8cfcacab9b90f2ac419bb5403fa24a0abd4d878f76c2c68ad1b6abe4dcc649e3
Fort Scott Ward 6,Fort Scott Ward 6,011,000070,2a46b72d2f0ee4d441295a7ae9671b25f677b3e046a77963e6d037d06f86d835
Fort Scott Ward 7,Fort Scott Ward 7,011,000080,96202dd400110cb398c15cf96c30507c4e196e6a2273a5260734960736696234
Fort Scott Ward 1 Exclave Halls,Fort Scott Ward 1 Exclave Halls,011,00002C,17197345b5c8717380fbd21f493910416a6ceef968e558db4257c164a82043ee
Fort Scott Ward 4 Exclave A,Fort Scott Ward 4 Exclave A,011,00005B,ca88bdfded1a472ede9de4c897c0fcf6ef371c9dc2b7770fb7cc2ac4731cc184
Fort Scott Ward 1 Exclave Red Ram C,Fort Scott Ward 1 Exclave Red Ram C,011,00002G,b90dc685f05916b306a95574e1885655935ba82dc18312e844f9e5ed27d19563
Fort Scott Ward 1 Exclave Red Barn 2,Fort Scott Ward 1 Exclave Red Barn 2,011,00002H,33983fa6dde0755bc10bfd15b503a05e4cd45cc9f7853e5c481431a59bbbb9e8
Fort Scott Ward 3,Fort Scott Ward 3,011,000040,f31280713d1f347e8030fa5f11e324610591f6d37e1a1bef2271585ad77622dc
Fort Scott Ward 4,Fort Scott Ward 4,011,00005A,410e1131689f08d498eab8f43e18ab662e63f97eb31bfbdb450fcfb4e2cd634c
Fort Scott Ward 5,Fort Scott Ward 5,011,000060,41a4b81b074da60f02796e2482a992504dd636033beb940393046ed2820e7db7
Fort Scott Ward 4 Exclave B,Fort Scott Ward 4 Exclave B,011,00005C,77b6ad4b7bee95b4dc0e64d1097d37b396f0c7e704083b47b45407efa82a5260
Fort Scott Ward 4 Exclave C,Fort Scott Ward 4 Exclave C,011,00005D,77b6ad4b7bee95b4dc0e64d1097d37b396f0c7e704083b47b45407efa82a5260
Franklin Township,Franklin Township Voting District,011,000090,ef20507fe233e3727a79562c1555cd7fe9cc6f0657d5621de96b3bbf7b9d928b
Marion Township,Marion Township Voting District,011,000110,aa0db8e04dc7dddae64a2f4f3f2cb315c29795efbd382de77796a2445800a5de
Osage Township,Osage Township Voting District,011,000150,02daac2177aca00f80d23972d5e45495a725c85d02d54cc9a49f64356906d6f6
Pawnee Township,Pawnee Township Voting District,011,000160,136885d36f3f1a1d45cfb208758f8a5d650ba578e9fe05c637086b3cd68649e5
South Scott Township,South Scott Township Voting District,011,000170,a8e88fb46144cd7e287dd19f4c2447fda8569a1721a99c46669b2ca88edfa14c
Fort Scott Ward 4 Exclave C,Fort Scott Ward 4 Exclave C,011,900020,0d742694782d048c19ed78ede495a5510c12d4b7a6a6f817d71e05a1da3122fe
Fort Scott Ward 4 Exclave D,Fort Scott Ward 4 Exclave D,011,900030,a24288a65d981c38732b777c95aea0d75b7282805aed2951f59ea017f357966a
Walnut Township,Walnut Township Voting District,011,000190,29d457444b9dcf3620cabe202b09850959131d5c04945bb29dded430056a6432
Freedom Township,Freedom Township Voting District,011,000100,6809bd9ee0ab0775034a5dc69e252d65eed632b643a82b2fdd8d75310ea5e37f
Marmaton Township,Marmaton Township Voting District,011,000120,f176f4f1fc5b6bfe8c20a024f7e0b6aa468aa45d2eb4e4a9198b240c224f805d
Mill Creek Township,Mill Creek Township Voting District,011,000130,0055d356b900a8baa18955eca3fbdcf487af41cd4096c8554713d9802ebe61fc
North Scott Township,North Scott Township Voting District,011,000140,44673c17e576aa8794980bbe337ea1da2e3cf6e58124cddc0d9292252154526c
Timberhill Township,Timberhill Township Voting District,011,000180,790523543e285cb1a087c9f438f99e836d2d43cf06c624701d571222539fb4d7
Hamlin Township,Hamlin Township Voting District,013,000010,daa678e92bace35d70382b1fda3e2a507b3fa5fbe3dff410b9f9e4d725c88fda
Hiawatha City Ward 1,Hiawatha City Ward 1,013,000020,47f1b0f0c8dabee9b2870d0c7930a711ad2f744b998acf84756b57604f176ebf
Hiawatha City Ward 2,Hiawatha City Ward 2,013,000030,3de3071fcfae0394455b018cb8a2ffe2ae7144d3b1c4d072fdd6239b332e04b0
Hiawatha City Ward 3,Hiawatha City Ward 3,013,00004A,e4c48e3952a538b015d9782ec706be69f275629c2edac41d1f5a1b95c0e1728c
Hiawatha City Ward 3 Exclave,Hiawatha City Ward 3 Exclave,013,00004B,77a199122b0c01115d4c82d2518a4ce2f54acb9c01decde571fe4980c164d935
